date,gcode,lvcnt,nsum,nsum10,bomb,bomblag,bombsum10,klaB,klaBlag,klaBsum10,klaK,klaKlag,klaKsum10
6/14/1999,east,0,0.9402985,27.173953,0,0,60,0,0,0,19,14,42
6/16/1999,east,0,0.0597015,10.2736315,0,0,53,0,0,0,8,19,61
6/18/1999,east,0,0,4.124183,0,0,45,0,0,0,16,8,69
6/20/1999,east,0,0,4.0532213,0,0,37,0,0,0,3,16,84
6/22/1999,east,0,0,4,0,0,28,0,0,0,6,3,77
3/20/1999,west,1296,19.11355,0,0,0,0,0,0,0,1,0,0
3/22/1999,west,2439,25.02138,19.11355,0,0,0,1,0,0,2,1,1
3/24/1999,west,4492,480.6428,44.13493,0,0,0,4,1,1,5,2,3
3/26/1999,west,8045,716.344,524.77773,0,0,0,1,4,5,21,5,8
3/28/1999,west,20673,682.1636,1241.12173,2,0,0,4,1,6,5,21,29
3/30/1999,west,12964,298.1312,1923.28533,0,2,2,0,4,10,0,5,34
4/1/1999,west,16433,162.3687,2221.41653,2,0,2,5,0,10,6,0,34
4/3/1999,west,17954,144.1931,2383.78523,0,2,4,2,5,15,1,6,40
4/5/1999,west,14918,85.10481,2527.97833,1,0,4,0,2,17,0,1,41
4/7/1999,west,1657,28.12642,2613.08314,1,1,5,1,0,17,1,0,41
4/9/1999,west,1338,38.37733,2641.20956,0,1,6,2,1,18,4,1,42
4/11/1999,west,1091,16.49624,2679.58689,3,0,6,1,2,20,1,4,46
4/13/1999,west,1801,12.7308,2676.96958,1,3,9,0,1,21,1,1,46
4/15/1999,west,2008,38.47644,2664.679,2,1,10,1,0,20,3,1,45
4/17/1999,west,2341,73.45807,2222.51264,0,2,12,1.5,1,17,1,3,43
4/19/1999,west,2434,17.89551,1579.62671,0,0,12,2,1.5,17.5,1,1,23
4/21/1999,west,908,14.63222,915.35862,1,0,10,0,2,15.5,1,1,19
4/23/1999,west,408,10.47227,631.85964,0,1,11,0,0,15.5,0,1,20
4/25/1999,west,388,9.640961,479.96321,1,0,9,0,0,10.5,0,0,14
4/27/1999,west,2043,31.51606,345.411071,1,1,10,0,0,8.5,0,0,13
4/29/1999,west,1618,3.842985,291.822321,0,1,10,0,0,8.5,0,0,13
5/1/1999,west,954,58.54288,267.538886,4,0,9,1,0,7.5,1,0,12
5/3/1999,west,2169,59.45595,287.704436,3,4,13,0,1,6.5,7,1,9
5/5/1999,west,843,3.992043,330.664146,0,3,13,0,0,5.5,3,7,15
5/7/1999,west,4230,27.88477,321.925389,2,0,12,1,0,5.5,6,3,17
5/9/1999,west,3767,7.028807,311.333719,4,2,12,1,1,5.5,1,6,20
5/11/1999,west,103,2.419753,244.904456,2,4,16,1,1,5,3,1,20
5/13/1999,west,11,3.358131,229.428699,4,2,18,0,1,4,1,3,22
5/15/1999,west,6,6.974581,218.15461,7,4,21,1,0,4,0,1,22
5/17/1999,west,3,31.33395,214.656921,2,7,28,0,1,5,1,0,22
5/19/1999,west,20,1.791151,236.34991,2,2,29,0,0,5,0,1,23
5/21/1999,west,12,3.866039,206.625001,6,2,30,0,0,5,1,0,23
5/23/1999,west,388,4.342809,206.648055,2,6,36,0,0,5,2,1,24
5/25/1999,west,43,4.901961,152.447984,8,2,34,0,0,4,4,2,25
5/27/1999,west,18,0.0560224,97.893995,5,8,39,0,0,4,0,4,22
5/29/1999,west,0,0.0420168,93.9579744,6,5,44,0,0,4,1,0,19
5/31/1999,west,0,57.78452,66.1152212,5,6,48,0,0,3,16,1,14
6/2/1999,west,0,0,116.8709342,5,5,49,1,0,2,1,16,29
